ticker,date,Open,High,Low,Close,Volume,daily_return,return_zscore,volume_zscore
RELIANCE.NS,2024-08-05,1469.126390399314,1472.997761203301,1422.7198642160924,1436.69140625,17046704,-0.03468225254936952,-2.273337644512213,1.5576787347751397
RELIANCE.NS,2024-09-30,1513.3558880158446,1518.9086621673466,1468.5348969230117,1470.701171875,27008814,-0.03249956174131363,-2.6436993424328215,1.7676150550536458
RELIANCE.NS,2024-10-03,1430.8602791168494,1443.634334423912,1396.4975195620746,1401.3780517578125,37757294,-0.03949269208533057,-2.470088211898452,2.489602802172064
RELIANCE.NS,2025-04-28,1334.669497851195,1369.1318351951852,1314.9482133535364,1363.35498046875,31104496,0.05259921775599641,2.444509030474793,3.0571747593158936
RELIANCE.NS,2025-06-20,1425.3075053013417,1465.148385952672,1422.4190171371765,1460.367431640625,29010635,0.022953964664555127,2.544968765918811,3.6697214169627124
RELIANCE.NS,2025-07-21,1459.1722169809668,1470.128458883213,1417.4388712363768,1422.9169921875,22442744,-0.032113810742112725,-2.582958871604701,3.1340358722818396
RELIANCE.NS,2025-10-20,1440.0,1473.800048828125,1433.300048828125,1466.800048828125,24721978,0.035290794944111026,2.996613744341943,2.9398316787633143
RELIANCE.NS,2026-01-06,1569.0,1569.0,1496.300048828125,1507.5999755859375,27417125,-0.04467397572439846,-3.3474808461230303,3.6233674111214134
RELIANCE.NS,2026-02-03,1473.9000244140625,1489.5,1430.199951171875,1437.0999755859375,25456171,0.0335874211391467,2.3049010080324277,1.5341216836912202
RELIANCE.NS,2026-03-05,1353.0999755859375,1399.0,1353.0999755859375,1389.4000244140625,25957532,0.03301117056807623,2.3988005809692337,1.8916025193053585
TCS.NS,2024-07-12,3759.6151284962884,3967.386003323572,3751.3969204452933,3952.27197265625,13509164,0.06632782548445171,3.488992942296175,3.8931801225062
TCS.NS,2024-09-18,4257.9000607847665,4257.9000607847665,4091.2124529893836,4115.02490234375,2961779,-0.03540014446842843,-3.285896433859239,1.7800416031946995
TCS.NS,2025-01-10,3986.3490838137277,4078.41476503514,3957.875161786487,4048.659423828125,7894300,0.056154624320896795,3.1808671688347174,3.6145142570486266
TCS.NS,2025-02-28,3465.195760859545,3479.743067268356,3341.5199398740847,3366.89306640625,7085018,-0.03579187587811128,-2.4142702319466856,3.166847076765172
